관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3130000-101-2022-00487,만나, 망원동,3130000.0,서울특별시 마포구 망원로 94 1층 일부호 (망원동),포장마차,등록된 영업시간이 없습니다.,"쭈꾸미삼겹살 : 22,000원
오삼불고기 : 18,000원
두부김치 : 18,000원
쭈꾸미볶음 : 22,000원
골뱅이소면 : 20,000원
무뼈닭발 : 18,000원
스팸후라이 : 13,000원
치즈계란말이 : 15,000원
국물떡볶이 : 15,000원
오징어숙회 : 12,000원
닭도리탕 : 25,000원
만두전골 : 22,000원
꽁치김치찌개 : 18,000원
짜글이 : 18,000원
오뎅탕 : 15,000원
",02-326-0141
3140000-101-2018-00006,부엉이식당, 신정동,3140000.0,서울특별시 양천구 목동로15길 8 101동 지상1층 상가9호 (신정동 삼천리아파트),덮밥,"화/11:00 - 21:00/20:00 라스트오더
수/11:00 - 21:00/20:00 라스트오더
목/11:00 - 21:00/20:00 라스트오더
금/11:00 - 21:00/20:00 라스트오더
토/정기휴무 (매주 토요일)
일/정기휴무 (매주 일요일)
월/11:00 - 21:00/20:00 라스트오더
","치즈돈까스 카레 덮밥 : 9,000원
돼지불고기 덮밥 : 9,000원
새우마요 덮밥 : 9,000원
소불고기 덮밥 : 9,000원
",02-2699-9680
3060000-101-2021-00099,동백섬, 상봉동,3060000.0,서울특별시 중랑구 망우로50길 23 1층 (상봉동),한식,등록된 영업시간이 없습니다.,"숙성회한상 소 : 45,000원
숙성회한상 중 : 57,000원
육회한상 소 : 35,000원
육회 한상 중 : 45,000원
숙성회 한접시 : 35,000원
육회 한접시 : 25,000원
멸치회무침 : 20,000원
멸치찌개 : 20,000원
육전 : 20,000원
스지오뎅탕 : 23,000원
",등록된 전화번호가 없습니다.
3140000-101-2022-00171,장터국밥, 신월동,3140000.0,서울특별시 양천구 곰달래로13길 11 1층 101호 (신월동),국밥,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3150000-101-2003-00386,굿모닝 햄버거. 베이글, 내발산동,3150000.0,서울특별시 강서구 강서로 337 모텔리츠 1층 1210호 (내발산동),양식,"매일/11:00 - 21:00
","아인슈타인버거 : 8,000원
무화과 롤 치즈 베이글 : 3,000원
너는나를 행복하게해 버거 : 6,000원
코스모폴리탄 버거 : 12,000원
카우보이 BBQ 버거 : 6,500원
감자튀김 : 5,000원
플레인베이글 : 2,500원
갈릭버터치즈 베이글 : 4,200원
블루베리 크림치즈 베이글 : 3,000원
할라피뇨치즈베이글 : 3,500원
슈퍼 푸드 시금치 치즈 베이글 : 3,500원
크림치즈토마토 바질페스토배이글샌드위치 : 5,500원
어니언치즈 베이글 : 4,200원
앙치즈베이글 : 3,000원
고구마치즈베이글 : 2,800원
",02-2666-2351
3220000-101-2012-00988,슈퍼쭈꾸미, 역삼동,3220000.0,서울특별시 강남구 언주로93길 32-3 지하1층 B101호 (역삼동),한식,"화/17:00 - 24:00
수/17:00 - 24:00
목/17:00 - 24:00
금/17:00 - 24:00
토/정기휴무 (매주 토요일)
일/정기휴무 (매주 일요일)
월/17:00 - 24:00
","슈퍼쭈꾸미세트 : 37,000원
쭈꾸미1인분 : 13,000원
쭈쌈 : 14,000원
김치닭도리탕 : 30,000원
국물닭발+계란찜 : 28,000원
매운갈비찜 : 28,000원
부추전 : 13,000원
김치전 : 15,000원
오돌뼈 : 20,000원
닭똥집볶음 : 20,000원
수제어묵탕 : 20,000원
모시조개탕 : 15,000원
먹태구이 : 18,000원
노가리+쥐포 : 15,000원
모듬구이 : 28,000원
",02-564-4521
3050000-101-2011-00104,청량리 골목식당, 청량리동,3050000.0,서울특별시 동대문구 경동시장로2길 49-1 1층 (청량리동),한식,"화/06:00 - 21:30
수/06:00 - 21:30
목(8/25)/정기휴무 (매달 2, 4번째 목요일)
금/06:00 - 21:30
토/06:00 - 21:30
일/06:00 - 21:30
월/06:00 - 21:30
","청국장대표 : 6,000원
된장찌개대표 : 6,000원
순두부찌개대표 : 6,000원
우렁된장찌개대표 : 7,000원
김치찌개대표 : 7,000원
부대찌개대표 : 7,000원
조기찌개대표 : 7,000원
갈치조림매운맛1단계대표 : 8,000원
제육볶음대표 : 10,000원
오징어볶음대표 : 10,000원
동태찌개대표 : 14,000원
닭볶음탕매운맛1단계대표 : 30,000원
청국장대표 : 6,000원
된장찌개대표 : 6,000원
순두부찌개대표 : 6,000원
우렁된장찌개대표 : 7,000원
김치찌개대표 : 7,000원
부대찌개대표 : 7,000원
조기찌개대표 : 7,000원
갈치조림매운맛1단계대표 : 8,000원
제육볶음대표 : 10,000원
오징어볶음대표 : 10,000원
동태찌개대표 : 14,000원
닭볶음탕매운맛1단계대표 : 30,000원
공기밥 추가 : 1,000원
생선 추가 : 1,000원
라면사리 추가 : 1,000원
2인분 솥밥 추가 : 2,000원
참이슬후레쉬 : 4,000원
참이슬클래식 : 4,000원
진로이즈백 : 4,000원
카스 : 4,000원
테라 : 4,000원
청하 : 4,000원
장수막걸리 : 3,000원
인생막걸리 : 4,000원
콜라 : 2,000원
사이다 : 2,000원
",02-965-4378
3240000-101-2022-00171,동막골빈대떡, 성내동,3240000.0,서울특별시 강동구 풍성로 140 1층 8호 (성내동),"전,빈대떡",등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3000000-101-2009-00308,야미, 당주동,3000000.0,서울특별시 종로구 세종대로23길 54 (당주동세종빌딩 지하 117호),한식,등록된 영업시간이 없습니다.,"은갈치조림 : 9,000원
소고기나물비빔밥 : 8,000원
전통육개장 : 9,000원
",등록된 전화번호가 없습니다.
3130000-101-2018-00396,온돈부리, 상암동,3130000.0,서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티 S-City 218 219호 (상암동),일식당,"화/11:20 - 21:30/15:30 - 17:00 브레이크타임/15:00, 21:00 라스트오더
수/11:20 - 21:30/15:30 - 17:00 브레이크타임/15:00, 21:00 라스트오더
목/11:20 - 21:30/15:30 - 17:00 브레이크타임/15:00, 21:00 라스트오더
금/11:20 - 21:30/15:30 - 17:00 브레이크타임/15:00, 21:00 라스트오더
토/11:20 - 21:30/15:30 - 17:00 브레이크타임/15:00, 21:00 라스트오더
일/정기휴무 (매주 일요일)
월/11:20 - 21:30/15:30 - 17:00 브레이크타임/15:00, 21:00 라스트오더
","사케동대표 : 14,000원
부타동매운맛1단계대표 : 10,600원
가츠동대표 : 9,500원
규동대표 : 9,500원
우나기동대표 : 23,000원
수제 치즈스틱 2P대표 : 4,200원
카이센동대표 : 29,000원
사케동대표 : 14,000원
아부리 사케동 : 14,000원
연어 뱃살 덮밥 : 15,500원
네기도로동 : 11,500원
사케낫또동 : 17,000원
사케우니동 : 24,500원
카이센동대표 : 29,000원
사케아마에비동 : 18,500원
우니동 : 39,000원
가츠동대표 : 9,500원
에비동 : 10,500원
부타동매운맛1단계대표 : 10,600원
믹스가츠동 : 10,000원
규동대표 : 9,500원
우나기동대표 : 23,000원
에비후라이 2P : 5,400원
에비후라이 1P : 2,700원
수제 치즈스틱 2P대표 : 4,200원
수제 치즈스틱 1P : 2,100원
",02-303-0626
3140000-101-2022-00170,르플로르, 신정동,3140000.0,서울특별시 양천구 목동동로 177 1층 107호 (신정동 삼성쉐르빌2),"카페,디저트","매일/10:00 - 21:30/21:00 라스트오더
","카이막 : 8,500원
르플봄날말차 : 6,300원
말차샷라떼 : 5,800원
르플로얄밀크 : 6,300원
르플초코퐁당 : 6,300원
아메리카노 : 4,000원
자몽에이드 : 5,800원
100%토마토쥬스 : 6,500원
마르코폴로 : 6,300원
포숑 애플티 : 6,500원
카모마일(다만플레르) : 5,800원
당근케이크 : 6,000원
더블버터스콘 : 4,500원
",070-7617-5488
3080000-101-2022-00144,맥썸, 수유동,3080000.0,서울특별시 강북구 한천로139길 39 2층 (수유동),"맥주,호프","매일/15:00 - 새벽 04:00/새벽 03:00 라스트오더
","거대한오징어튀김 : 8,900원
감자튀김 : 6,900원
갈릭간장치킨 : 12,900원
먹태 : 13,900원
",02-995-8885
