관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3230000-101-2021-00202,33떡볶이올림픽공원점, 방이동,3230000.0,서울특별시 송파구 양재대로 1222 올림픽프라자상가 1층 204호 (방이동),33떡볶이,등록된 영업시간이 없습니다.,"®인기급상승® 로제떡볶이(기본) : 11,000원
®갓성비® 삼삼떡볶이(자연산 치즈토핑 듬뿍)(기본) : 14,000원
®추천® 쌀떡세트(쌀떡볶이+김밥+찰순대) : 14,500원
모듬 꼬마김밥(6줄)(6줄) : 6,500원
통치즈 오겹돈까스 도시락(1인분) : 10,500원
오겹 등심돈까스 도시락(1인분) : 9,500원
®추천® 쌀떡세트(쌀떡볶이+김밥+찰순대) : 14,500원
®핫핫® 로제세트(로제떡볶이+계란김밥+스마일감자) : 18,000원
®인기® 밀떡세트(국물떡볶이+김밥+순대+모듬튀김) : 19,000원
삼삼세트(삼삼떡볶이+계란김밥+모듬튀김) : 24,500원
가래떡세트(가래떡떡볶이+계란김밥+33찰순대+모듬튀김) : 19,000원
®강추® 옛날 가래떡 떡볶이 : 4,500원
®인기급상승® 로제떡볶이(기본) : 11,000원
®갓성비® 삼삼떡볶이(자연산 치즈토핑 듬뿍)(기본) : 14,000원
®인기® 왕푸짐쌀떡볶이 : 6,500원
®New® 맵치즈닭떡(핫한신상) : 13,000원
모듬 꼬마김밥(6줄)(6줄) : 6,500원
계란 꼬마김밥(4줄) : 4,000원
어묵 꼬마김밥(4줄) : 4,000원
매운어묵 꼬마김밥(4줄) : 4,300원
참치 꼬마김밥(4줄) : 4,500원
®인기® New모듬튀김 : 6,500원
치즈볼(5개) : 5,000원
스마일감자(8개) : 3,000원
삼각만두튀김(6개) : 3,000원
야채튀김(3개) : 3,000원
순살치킨(닭다리살)(360g) : 9,900원
양념순살치킨(닭다리살)(360g) : 10,900원
팝콘치킨(싱글(150g)) : 3,500원
팝콘치킨(커플(250g)) : 6,000원
33냉모밀 : 6,000원
추억의 인천쫄면 : 6,500원
33 찰순대(내장 없음) : 4,000원
가마보꼬  33어묵탕(고급진1그릇) : 5,000원
33 오뎅(1인분) : 3,000원
베이컨(100g)(100g) : 3,000원
눈꽃치즈토핑(80g)(80g) : 3,000원
눈꽃치즈토핑(120g)(120g) : 4,000원
라면사리(반개)(반개) : 1,000원
소세지(5개)(5개) : 1,000원
펩시콜라(355ml) : 1,500원
칠성사이다(355ml) : 1,500원
펩시콜라500ml : 2,000원
칠성사이다500ml : 2,000원
탄산수500ml : 2,000원
스팸 김치볶음밥(1인분) : 7,000원
돈까스토핑 김치볶음밥(1인분) : 10,900원
오겹 등심돈까스 도시락(1인분) : 9,500원
통치즈 오겹돈까스 도시락(1인분) : 10,500원
어묵국물(1인분) : 500원
",02-401-3345
3210000-101-2022-00124,마가렛 리버, 양재동,3210000.0,서울특별시 서초구 언남11길 7-9 1층 (양재동),"카페,디저트","목/10:30 - 23:00
금/10:30 - 23:00
토/11:00 - 23:00
일/정기휴무 (매주 일요일)
월/10:30 - 23:00
화/10:30 - 23:00
수/10:30 - 23:00
","아메리카노_ice : 4,500원
아인슈페너_ice : 7,000원
카라멜라떼마끼아또_ice : 6,000원
크림 딸기라떼 : 6,500원
청포도에이드 : 6,500원
블루레몬에이드 : 6,500원
루이보스 빌베리 : 5,500원
바스크치즈케이크 : 7,000원
카라멜 롤케이크 : 7,700원
생과일_수박주스 : 7,000원
생과일_키위주스 : 7,000원
생과일_블루베리주스 : 7,000원
생과일_오렌지주스 : 7,000원
생과일_바나나주스 : 7,000원
",070-5213-1967
3160000-101-2021-00177,서호돈가스, 구로동,3160000.0,서울특별시 구로구 디지털로 288 대륭포스트타워1차 지하1층 B129호 (구로동),돈가스,"매일/11:00 - 21:00/15:00 - 17:00 브레이크타임/20:45 라스트오더
","로스가스 : 9,000원
히레가스 : 10,000원
김치찜돈가스(국내산 김치) : 10,000원
코돈부르 : 11,000원
에비후라이 : 14,000원
서호가스 : 13,000원
명성가스 : 11,000원
로스히레콤보 : 13,000원
치즈가스 : 11,000원
돌솥어묵우동정식 : 9,000원
돌솥어묵에비우동정식 : 10,000원
냉모밀정식 : 9,500원
",0507-1360-2891
3050000-101-2013-00241,탕미옥, 제기동,3050000.0,서울특별시 동대문구 왕산로19나길 3 1층 101호 (제기동 태종빌딩),"곰탕,설렁탕","목/09:00 - 22:00/15:30 - 17:30 브레이크타임
금/09:00 - 22:00/15:30 - 17:30 브레이크타임
토/09:00 - 22:00/15:30 - 17:30 브레이크타임
일/정기휴무 (매주 일요일)
월/09:00 - 22:00/15:30 - 17:30 브레이크타임
화/09:00 - 22:00/15:30 - 17:30 브레이크타임
수/09:00 - 22:00/15:30 - 17:30 브레이크타임
","전복,문어,갈비찜 : 80,000원
전복 갈비탕 : 15,000원
매운 갈비찜 : 22,000원
보양우족찜 : 20,000원
꼬막비빕밥 : 12,000원
설렁탕 : 10,000원
우거지 곰탕 : 13,000원
도가니탕 : 18,000원
꼬리 곰탕 : 25,000원
",02-921-1158
3180000-101-2003-00461,초계명가영등포점, 영등포동,3180000.0,서울특별시 영등포구 영신로19길 30-5 (영등포동),한정식,등록된 영업시간이 없습니다.,"찰보리 초계국수(물냉면)대표 : 7,000원
찰보리 초계비빔냉면대표 : 7,000원
찰보리 초계불비빔냉면대표 : 8,000원
찰보리 초계국수(물냉면)대표 : 7,000원
찰보리 초계비빔냉면대표 : 7,000원
찰보리 초계불비빔냉면대표 : 8,000원
불고기 따로 주는 물냉면 : 8,000원
불고기 따로 주는 비빔냉면 : 8,000원
찰보리 물냉면 : 6,000원
찰보리 비빔냉면 : 6,000원
찰보리초계얼큰온면 : 8,000원
찰보리초계온면 : 7,500원
떡만두국 : 7,500원
숯불갈비 찐만두 : 5,000원
메밀전병 : 5,000원
소주 : 4,000원
맥주 : 4,000원
음료수 : 2,000원
",02-832-3302
3010000-101-2022-00075,카페선셋, 산림동,3010000.0,서울특별시 중구 청계천로 160 3층 바열 301호302호 (산림동),"카페,디저트","목/11:00 - 20:00
금/11:00 - 20:00
토/12:00 - 20:30
일/정기휴무 (매주 일요일)
월/11:00 - 20:00
화/11:00 - 20:00
수/11:00 - 20:00
",등록된 메뉴가 없습니다.,0507-1349-0530
3060000-101-2021-00274,더 아너스, 상봉동,3060000.0,서울특별시 중랑구 망우로 353 C동 지층 B101호 (상봉동 상봉 프레미어스 엠코),뷔페,"목/10:30 - 18:30
금/10:30 - 18:30
토/09:30 - 20:30
일/09:30 - 20:30
월/10:30 - 18:30
화/10:30 - 18:30
수/10:30 - 18:30
","대인 49,000 : 변동
소인 25,000(6~13) : 변동
",02-439-1300
3120000-101-2006-00295,돈쌀롱, 창천동,3120000.0,서울특별시 서대문구 연세로7안길 34-6 (창천동(지상12층)),"육류,고기요리","목/15:00 - 새벽 02:00
금/15:00 - 새벽 02:00
토/15:00 - 새벽 02:00
일/정기휴무 (매주 일요일)
월/15:00 - 새벽 02:00
화/15:00 - 새벽 02:00
수/15:00 - 새벽 02:00
","덧살 : 8,000원
오겹살 : 8,000원
부산통구이 : 29,000원
꽃목살 : 19,000원
껍데기 : 7,000원
",0507-1377-4445
3080000-101-2020-00321,샐요뜨, 수유동,3080000.0,서울특별시 강북구 덕릉로 26 1층 (수유동),"다이어트,샐러드","매일/09:30 - 21:00
","수비드 부채살 샐러드 : 12,900원
생연어 아보카도 샐러드 : 11,900원
고구마 에그 범벅 샌드위치 : 5,900원
블루베리 그릭요거트 : 3,900원
아메리카노 : 3,000원
아보카도 샐러드 : 8,900원
닭가슴살 샐러드 : 8,900원
훈제오리 샐러드 : 9,900원
불고기 샐러드 : 10,900원
생연어 샐러드 : 10,900원
리코타 더블치즈 샐러드 : 10,900원
과카몰리 샐러드 : 11,900원
청포도 바나나 그릭요거트 : 5,000원
망고 바나나 그릭요거트 : 5,000원
불고기 샌드위치 : 6,900원
",0507-1341-0628
3010000-101-2005-00171,술무로, 필동2가,3010000.0,서울특별시 중구 퇴계로42길 11 (필동2가(지상12층)),요리주점,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,0507-1319-4501
